"id","SehirIlceMahalleAdi","UstID","minlongitude","minlatitude","maxlongitude","maxlatitude","MahalleID"
29987,YENİ (İSHAKÇA),1558,33.249205,41.883030,33.279581,41.907327,
29988,YILDIZALAN (YILDIZALAN),1558,32.874411,41.777264,32.889689,41.781109,
29989,YUKARI  (İSHAKÇA),1558,33.236233,41.888890,33.279581,41.928740,
29990,YUKARI (KÖSELİ),1558,33.020885,41.910536,33.032159,41.921447,
29991,YUKARI (NANEPINARI),1558,32.806330,41.791786,32.839034,41.847569,
29992,YUKARI (SIRAKAYA),1558,32.997615,41.861033,33.005210,41.868269,
29993,YUKARI KOZAK (İSAKÖY),1558,32.907110,41.844340,32.929126,41.852550,
29994,YURTBAŞI (YURTBAŞI),1558,33.278313,41.932522,33.310810,41.972694,
29995,ABDİOĞLU (DEĞİRMENÖZÜ),1559,33.500890,41.565721,33.534079,41.607470,
29996,AHATVEREN (ÇÖLMEKÇİLER),1559,33.343987,41.437015,33.383501,41.451550,
29997,ALEYBEY (AKPINAR),1559,33.404134,41.413550,33.416727,41.444394,
29998,AŞAĞI (BAYIR),1559,33.479739,41.470089,33.499678,41.475596,
29999,AŞAĞI (BAYRAMLI),1559,33.493024,41.484374,33.511628,41.502460,
30000,AŞAĞI (ÇÖLMEKÇİLER),1559,33.381617,41.438596,33.396661,41.464668,
30001,AŞAĞI (KARAMIK),1559,33.473368,41.375392,33.523922,41.401342,
30002,AŞAĞI (TÜFEKÇİ),1559,33.442489,41.453075,33.458695,41.466971,
30003,AŞAĞI ÖDEN (KARAAĞAÇ),1559,33.148251,41.503881,33.151696,41.506059,
30004,BAHÇELİ (OKLUK),1559,33.320893,41.464464,33.361506,41.486167,
30005,BEKİR (KARACAAĞAÇ),1559,33.444839,41.482754,33.459785,41.496323,
30006,BEY,1559,33.449764,41.452639,33.481540,41.476890,
30007,BEYAZLAR (BAĞIŞLAR),1559,33.470985,41.506826,33.479678,41.516643,
30008,BİTİGÖZÜ (HASANŞEYH),1559,33.568296,41.460289,33.589196,41.480805,
30009,BOZCAARMUT (BOYALICA),1559,33.266044,41.515020,33.284562,41.527760,
30010,BUDAKLAR (KAYABAĞI),1559,33.512077,41.426832,33.531904,41.446780,
30011,CAMİİ (SELALMAZ),1559,33.167804,41.467541,33.177406,41.473222,
30012,ÇENTEKLER (DAVUT),1559,33.473363,41.479919,33.485963,41.489725,
30013,ÇİFTLİK (İNCİĞEZ),1559,33.526648,41.474935,33.531610,41.477293,
30014,ÇILLAR (ELMAYAZI),1559,33.396599,41.451619,33.422114,41.458284,
30015,ÇİMKELER (KARAMIK),1559,33.459849,41.396055,33.558512,41.415762,
30016,CİVLER (BOLATLAR),1559,33.421840,41.436783,33.449585,41.448669,
30017,ÇUKUR (GÖRÜK),1559,33.436378,41.469613,33.447568,41.475391,
30018,DAVULCU (ÇÖLMEKÇİLER),1559,33.393190,41.454575,33.396661,41.463592,
30019,DEMİRCİ (SORKUN),1559,33.535767,41.458359,33.550787,41.472091,
30020,DEMİRCİLER (UZBANLAR),1559,33.521361,41.507599,33.526675,41.511684,
30021,DEMİRHAN (DEĞİRMENCİK),1559,33.151889,41.398059,33.178453,41.430179,
30022,DERE (BOLATLAR),1559,33.416030,41.413550,33.449585,41.451619,
30023,DERE (DEMİRCE),1559,33.263266,41.454657,33.299017,41.485838,
30024,DİKMEN (GÖKÖREN),1559,33.144293,41.432496,33.181286,41.454757,
30025,DÖRTDEĞİRMENLER (KIZILÖRENCİK),1559,33.585634,41.478972,33.594089,41.482669,
30026,ELMACIK (DEMİRCE),1559,33.282580,41.482865,33.320893,41.508588,
30027,ERDEMLER (KIZILÖRENCİK),1559,33.560869,41.517150,33.567959,41.521587,
30028,ESGİLİ (BAĞIŞLAR),1559,33.478106,41.503009,33.486300,41.516643,
30029,ESKİ KÖY (DEMİRCE),1559,33.283562,41.431998,33.329289,41.465308,
30030,FATMAÖREN (ÜYÜKÖREN),1559,33.442297,41.364699,33.489761,41.406686,
30031,FETTAH (SORKUN),1559,33.529823,41.451396,33.541260,41.461366,
30032,FINDICAK (ÇAMKONAK),1559,33.226755,41.379691,33.232033,41.382122,
